name,handedness,height,weight,avg,HR,BMI,Body_Size
John Stearns,R,72,185,0.26,46,25,Overweight
Don Baylor,R,73,190,0.26,338,25,Overweight
Phil Garner,R,70,175,0.26,109,25,Overweight
Elliott Maddox,R,71,180,0.261,18,25,Overweight
Roy Howell,L,73,190,0.261,80,25,Overweight
Bob Chance,L,74,196,0.261,24,25,Overweight
Charlie Moore,R,71,180,0.261,36,25,Overweight
Willie Upshaw,L,72,185,0.262,123,25,Overweight
Bill Freehan,R,75,203,0.262,200,25,Overweight
Davey Lopes,R,69,170,0.263,155,25,Overweight
Jim Norris,L,70,175,0.264,7,25,Overweight
Don Buford,B,67,160,0.264,93,25,Overweight
Ken Retzer,L,72,185,0.264,14,25,Overweight
Mike Brown,R,74,195,0.265,23,25,Overweight
Jim Fregosi,R,73,190,0.265,151,25,Overweight
Bump Wills,B,69,172,0.266,36,25,Overweight
Leon Roberts,R,75,200,0.267,78,25,Normal
Mike Schmidt,R,74,195,0.267,548,25,Overweight
Bubba Morton,R,70,175,0.267,14,25,Overweight
Bobby Bonds,R,73,190,0.268,332,25,Overweight
Tom Poquette,L,70,175,0.268,10,25,Overweight
Chris Brown,R,72,185,0.269,38,25,Overweight
Ron Pruitt,R,72,185,0.269,12,25,Overweight
Joe Morgan,L,67,160,0.271,268,25,Overweight
Bob Johnson,R,70,175,0.272,44,25,Overweight
Larry Hisle,R,74,193,0.273,166,25,Normal
Ron Hunt,R,72,186,0.273,39,25,Overweight
Donn Clendenon,R,76,209,0.274,159,25,Overweight
Terry Francona,L,73,190,0.274,16,25,Overweight
Steve Ontiveros,B,72,185,0.274,24,25,Overweight
Darrell Brown,B,72,184,0.274,1,25,Normal
Gary Ward,R,74,195,0.276,130,25,Overweight
Gene Clines,R,69,170,0.277,5,25,Overweight
Rick Peters,B,69,170,0.277,2,25,Overweight
Ellis Valentine,R,76,205,0.278,123,25,Normal
Cleon Jones,R,72,185,0.281,93,25,Overweight
Glenn Beckert,R,73,190,0.283,22,25,Overweight
Tony Gonzalez,L,69,170,0.286,103,25,Overweight
Phil Bradley,R,72,185,0.286,78,25,Overweight
Bill Buckner,L,72,185,0.289,174,25,Overweight
Hal McRae,R,71,180,0.29,191,25,Overweight
Lou Piniella,R,72,182,0.291,102,25,Normal
Rico Carty,R,75,200,0.299,204,25,Normal
Bill Madlock,R,71,180,0.305,163,25,Overweight
Jack Billingham,R,76,195,0.111,0,24,Normal
Bob Veale,B,78,212,0.114,0,24,Normal
Fred Norman,B,68,155,0.125,0,24,Normal
Al Downing,R,71,175,0.127,2,24,Normal
Denny Lemaster,R,73,182,0.13,4,24,Normal
Randy Jones,R,72,178,0.132,0,24,Normal
Mario Soto,R,72,174,0.132,1,24,Normal
Denny McLain,R,73,185,0.133,1,24,Normal
Jim Lonborg,R,77,200,0.136,3,24,Normal
Bob Knepper,L,75,195,0.137,6,24,Normal
Don Sutton,R,73,185,0.144,0,24,Normal
Ray Burris,R,77,200,0.151,1,24,Normal
Joe Niekro,R,73,185,0.156,1,24,Normal
Luis Tiant,R,72,180,0.164,5,24,Normal
Fergie Jenkins,R,77,205,0.165,13,24,Normal
Jerry Reuss,L,77,200,0.167,1,24,Normal
J.R. Richard,R,80,222,0.168,10,24,Normal
Phil Niekro,R,73,180,0.169,7,24,Normal
Sonny Siebert,R,75,190,0.173,12,24,Normal
Dick Ruthven,R,75,190,0.183,1,24,Normal
Mike Krukow,R,77,205,0.193,5,24,Normal
Dave Roberts,L,75,195,0.194,7,24,Normal
Rick Wise,R,73,180,0.195,15,24,Normal
Rich Morales,R,71,170,0.195,6,24,Normal
Dan Briggs,L,72,180,0.195,12,24,Normal
Bob Davis,R,72,180,0.197,6,24,Normal
Orlando Mercado,R,72,180,0.199,7,24,Normal
Jim Maloney,L,74,190,0.201,7,24,Normal
Doug Frobel,L,76,196,0.201,20,24,Normal
Jim Mason,L,74,185,0.203,12,24,Normal
Jerry Zimmerman,R,74,185,0.204,3,24,Normal
George Smith,R,70,170,0.205,9,24,Normal
Tom Lawless,R,71,170,0.207,2,24,Normal
Bobby Klaus,R,70,170,0.208,6,24,Normal
Jack Heidemann,R,72,175,0.211,9,24,Normal
Angel Salazar,R,72,180,0.212,2,24,Normal
Rudy Meoli,L,69,165,0.212,2,24,Normal
Ken Rudolph,R,73,180,0.213,6,24,Normal
Dave Campbell,R,73,180,0.213,20,24,Normal
Bob Forsch,R,76,200,0.213,12,24,Normal
Luis Alvarado,R,69,162,0.214,5,24,Normal
Dave Duncan,R,74,190,0.214,109,24,Normal
Phil Roof,R,74,190,0.215,43,24,Normal
Mario Mendoza,R,71,170,0.215,4,24,Normal
Hector Torres,R,72,175,0.216,18,24,Normal
Pat Corrales,R,72,180,0.216,4,24,Normal
Billy Bryan,L,76,200,0.216,41,24,Normal
Fred Stanley,R,70,165,0.216,10,24,Normal
Darrel Chaney,B,74,188,0.217,14,24,Normal
Craig Robinson,R,70,165,0.219,0,24,Normal
Tim Cullen,R,73,185,0.22,9,24,Normal
Todd Cruz,R,72,175,0.22,34,24,Normal
Nelson Mathews,R,76,195,0.223,22,24,Normal
Andres Mora,R,72,180,0.223,27,24,Normal
Enzo Hernandez,R,68,155,0.224,2,24,Normal
Roger Repoz,L,75,190,0.224,82,24,Normal
Bob Burda,L,71,174,0.224,13,24,Normal
Tom Satriano,L,73,185,0.225,21,24,Normal
Hector Cruz,R,71,170,0.225,39,24,Normal
Tommie Reynolds,R,74,190,0.226,12,24,Normal
Mike Sadek,R,69,165,0.226,5,24,Normal
Buddy Bradford,R,71,170,0.226,52,24,Normal
Bob Barton,R,72,175,0.226,9,24,Normal
Pete Mackanin,R,74,190,0.226,30,24,Normal
Mike Fiore,L,72,175,0.227,13,24,Normal
Joe Nossek,R,72,178,0.228,3,24,Normal
Tim Blackwell,B,71,170,0.228,6,24,Normal
Dick Phillips,L,72,180,0.229,12,24,Normal
Tommie Aaron,R,75,190,0.229,13,24,Normal
Doug Clemens,L,72,180,0.229,12,24,Normal
Syd O'Brien,R,73,185,0.23,24,24,Normal
Billy Smith,B,74,185,0.23,17,24,Normal
Steve Whitaker,L,72,180,0.23,24,24,Normal
Lenn Sakata,R,69,160,0.23,25,24,Normal
Winston Llenas,R,70,165,0.23,3,24,Normal
Ted Kubiak,B,72,175,0.231,13,24,Normal
Ken Walters,R,73,180,0.231,11,24,Normal
Jim Beauchamp,R,74,190,0.231,14,24,Normal
Elio Chacon,R,69,160,0.232,4,24,Normal
Larry Stahl,L,72,175,0.232,36,24,Normal
Ron Gardenhire,R,72,175,0.232,4,24,Normal
Buck Rodgers,B,74,190,0.232,31,24,Normal
Frank Duffy,R,73,180,0.232,26,24,Normal
Steve Lombardozzi,R,72,175,0.233,20,24,Normal
Jake Gibbs,L,72,180,0.233,25,24,Normal
Coco Laboy,R,70,165,0.233,28,24,Normal
Ron Woods,R,70,168,0.233,26,24,Normal
Paul Popovich,B,72,175,0.233,14,24,Normal
Joe Lis,R,72,175,0.233,32,24,Normal
Ted Savage,R,73,185,0.233,34,24,Normal
Ron Davis,R,72,175,0.233,10,24,Normal
Rob Picciolo,R,74,185,0.234,17,24,Normal
Jerry May,R,74,190,0.234,15,24,Normal
Len Matuszek,L,74,190,0.234,30,24,Normal
Fred Kendall,R,73,185,0.234,31,24,Normal
